word,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim
search,0.4096774747626626,0.4174227014531431,0.4157434837015634,0.4167697025038134,0.41168504823064433,0.41509756317510377,0.4132406615100325,0.4155065259735789,0.41575431121732614,0.4150292152367523,0.41462654195237225,0.41667633491712125,0.4174040293725985,0.41676541931065614,0.4146380247141366,0.41800801127253207,0.4125698898996863,0.41489648859641115,0.4159532669631018,0.41537703657528113,0.4150394903450203,0.415190121447805,0.4151820864897058,0.4137545383365999,0.41405473930026715,0.41857913711167877,0.41634427411842323,0.4145303885418222,0.4162095145929978,0.4146253923593094,0.4142818648725546,0.4218961262276931,0.41472219873254235,0.4170022827255445,0.413774871195292,0.4161289729439976,0.41436427082321087,0.4164015396181876,0.41819215487013117,0.4133345886312895,0.416718839993913,0.4159650398460226,0.4182470224182786,0.4128028589963062,0.41280259820877696,0.41396827489560106,0.41922147762886497,0.41599068881759815,0.41395269420003883,0.4203057502321359,0.4177449679162407
warrant,0.26358503354968577,0.27206907467026653,0.2706358579420652,0.2705909128698941,0.26982133833563193,0.26952031362905177,0.2668170330251867,0.26966412854842803,0.27004311851654306,0.2686573551400633,0.26980896021752115,0.2726128434934766,0.2723659142339192,0.26923661434076795,0.26935076330877944,0.27132323473368575,0.26666950799901756,0.26849541702129615,0.27096163990122674,0.2705180605623282,0.27026758909762516,0.2675658462589485,0.270254425535405,0.26923784105907383,0.2691633994754571,0.2718818047761733,0.2692285051225296,0.2680391281663867,0.2709590943997351,0.26620902218297204,0.2696071718370662,0.27315338452310406,0.26775832331450033,0.26955124175818607,0.26806014912279524,0.2687074599638134,0.27025791699599844,0.26883590070030217,0.2693598943167921,0.26971041618808905,0.27008427448573763,0.26958573400683916,0.2719808398955769,0.26901936904822743,0.2686070086352708,0.26702386149406704,0.27217354824232703,0.27127360747967566,0.2693719037905431,0.2710968948385577,0.27080508272381654
fourthamendment,0.2300156332911782,0.23230002556818924,0.23134740903636725,0.23111481812576667,0.2299019626997937,0.2318158767133703,0.2300727712094503,0.23036834987315727,0.22864443788043454,0.23093491383685383,0.2314569853290282,0.23059830464569933,0.23177431609041066,0.2301507570259766,0.2314816263371578,0.23303455558744662,0.2289863451074309,0.23060616221171432,0.23161012500663689,0.2312319627403011,0.2319209869111447,0.23139944296573195,0.23167908141493404,0.22899723999882254,0.2310641761745573,0.2317437784801865,0.23208295989401814,0.23116168236767937,0.23148898118899433,0.2315337270198567,0.23132364516162474,0.2331155577952777,0.22833227129139574,0.23037531054841065,0.23070335398178238,0.23310003313398026,0.23045532740043972,0.23284233566924895,0.2317347944788929,0.23069704090150023,0.2310952525182527,0.2308820018423655,0.23104289764878055,0.2292512343555272,0.23020767628075756,0.23008988114437717,0.23402701868227938,0.23026326101762723,0.22937146445856244,0.23195663082749624,0.2314171455082374
appellant,0.19034520164634353,0.18145652367420334,0.18310932426095206,0.17553423513311045,0.18469413337008855,0.17694189226515228,0.1848276578619582,0.1787018744414139,0.18611140855242628,0.1851398785129352,0.18382154036814463,0.18617803420751763,0.17678484624021518,0.18338875680615746,0.18352751762703612,0.17384942835191963,0.18803777334242996,0.18399834818461375,0.18081849103353353,0.17988441634694122,0.17595838601780478,0.1770162996885283,0.17997985088323687,0.18700600137294449,0.17899874059875476,0.17843788221016876,0.18011910570886216,0.18645985570517565,0.1808946898075898,0.18355875289925735,0.18130212357138356,0.17837829129516086,0.19161734526976232,0.18134108116690667,0.18113196011474125,0.18183175026120665,0.18218860613873794,0.1727848523520136,0.1807945904799835,0.17927072094301869,0.18271861758217223,0.1790179678979959,0.1799461834160817,0.18443667866605792,0.18477097160943415,0.1809451073044004,0.18124110176008662,0.18450139017330408,0.1862096415183036,0.1794328942362792,0.1829789625008291
information,0.15190644447040447,0.1471157752911938,0.1489392851248024,0.1479832273634394,0.14569139748728144,0.14507890953651814,0.1397005799132075,0.14764077050519125,0.15619080489120696,0.1376625387729587,0.14749885341147673,0.1608360775292374,0.1502250286075855,0.1467135051403646,0.16632349459042411,0.14434274545799303,0.15639660323174326,0.15220517353952212,0.1474349765214501,0.1355702111850297,0.14848628323763363,0.146370861241005,0.15014163396569458,0.15856308559783577,0.15078720047571278,0.14679686437812867,0.14148404385025323,0.1438678530434541,0.1585511032991368,0.14439079704106253,0.15152261885576254,0.15526270114023383,0.15011047581667541,0.1463504532080333,0.15341455709592566,0.14481752213001475,0.1632877147438331,0.14272150661947447,0.14026994426961262,0.14940459292565253,0.1524139002733957,0.13983800870767213,0.15119335467415965,0.16740388849306598,0.1473109241173782,0.15582833098596216,0.14259207403572713,0.14794429040536874,0.15050069607086214,0.14634088008622895,0.1464298735195745
materials,0.1446558825013267,0.13626258723041623,0.13619100875617,0.13323360180857752,0.13700238059731074,0.13613823957239218,0.1395842922853916,0.13646747324379715,0.13901712161307406,0.13683625488856,0.13620889983209516,0.13665515864553457,0.130591617019352,0.13651625980078608,0.13717525593777022,0.1307575549019781,0.13935366262354315,0.13889654456347147,0.13657140137972915,0.1370010757494372,0.13306562947471412,0.13187099218478493,0.13611528137239776,0.1400710714808264,0.13555426178402122,0.1331528142210667,0.13501228455664174,0.13820905271774853,0.13675407566118597,0.14007147881488072,0.13699901981800383,0.13201242369406915,0.1398654689185711,0.13775844447715574,0.13666664386818933,0.1365182736359788,0.13580800230230403,0.13159137453546682,0.1341767965587819,0.14035690348030858,0.13422035765232865,0.13283968917061073,0.13054771284520705,0.13721864799945363,0.1374082959772407,0.13757629831262064,0.13399568931563305,0.1335339756679308,0.14010920392999937,0.13306997145285712,0.13844109659560216
president,0.1314618771715901,0.1283910813867441,0.12554054063351885,0.11966676051731456,0.1199847837728671,0.12628884473992497,0.12980233740968866,0.12941927485452642,0.12603416619053326,0.1272619030143286,0.12759642977557628,0.1273884433439752,0.11982407917070395,0.12804157475262742,0.12553299979923058,0.12069447670861622,0.12738122989316683,0.13019455948749037,0.1253620381383026,0.12556900065106125,0.12642573706434096,0.12301633863604794,0.12974105078208706,0.12844380379443732,0.12648485774374824,0.12653469625123887,0.12912308017581586,0.12517020713116225,0.12609567307657116,0.12736859838684847,0.12932727182278045,0.1212294660672939,0.11689937240561013,0.12790794036020295,0.12544015615064485,0.12434730168705145,0.12557257761321466,0.12564601467659445,0.12546224455483865,0.12833373829897396,0.12246204564794975,0.1198095326802559,0.11762353682634777,0.12388321820884235,0.12564647233124923,0.12274399032163726,0.12458043983387304,0.12617027867589425,0.1251820362243811,0.1206657412088174,0.12927227383565842
seizure,0.11751019488070594,0.1165886526858526,0.1169312006523643,0.11523855915379277,0.11590085541301928,0.11639521914600856,0.11688157874545699,0.11617042354253541,0.11509986804969692,0.11732022484058663,0.11618899942443539,0.1173914625849363,0.11665370850367365,0.11510420998281334,0.1165081538946827,0.1164618593650776,0.11746095456900775,0.1159099264976305,0.1179147865345489,0.11701120210045655,0.11766884396767788,0.11664552369885947,0.11770105771874607,0.11513832795060572,0.11734244801502244,0.11672994906585205,0.11764817654885534,0.11629763059191447,0.1164900149267384,0.11660488414688173,0.11764972575988492,0.11712830983831023,0.11699198990168784,0.11514676243934258,0.11633102444642734,0.11690518465838479,0.11701909652689095,0.11702850361168529,0.1166839578358272,0.11609422845285869,0.1156357003058607,0.11658493973323347,0.11592122058076751,0.11504605780775573,0.11377430034051578,0.11583663801163926,0.11858430961679604,0.11594145011887054,0.11562808007438162,0.11676085028342732,0.11812766037461381
probable,0.1161030298846147,0.1204922901155153,0.12040604019653173,0.12072764850465932,0.12103320523908472,0.11926634579132056,0.118382513634475,0.11925041428098174,0.12000648271635785,0.11897510005189797,0.11954594779208681,0.12003162771131798,0.12187255004159409,0.1191901304573453,0.11972770996686322,0.12059691022735068,0.11810646906063207,0.11927869588876994,0.1198645191952356,0.11961520920289331,0.11979080506703949,0.11958301530667932,0.12036794217993815,0.11884001156165996,0.1192026065041912,0.12140770816291406,0.11968837124739687,0.1186518538039468,0.11842155907549706,0.11740142869840568,0.11842516554884625,0.12106190567920068,0.12034976394227755,0.12017389812179717,0.11838580874248744,0.11854111318472235,0.1196364950063486,0.12016675663806124,0.11971086199420938,0.11858336355410694,0.11923189556480984,0.12096071698037686,0.1199932528484965,0.11997117285265868,0.11784429131098506,0.11738719113349524,0.12039124284223063,0.12119451045473592,0.11884706076022881,0.12003453757591537,0.11946102821622415
papers,0.11327840289250729,0.10792658699434682,0.10714557434109459,0.10512157224167316,0.10810861672155433,0.10709363038640647,0.10970328130266324,0.10710498337756422,0.1085372313412462,0.10918302601553939,0.10752048762422164,0.1072322651105678,0.10402492883583216,0.10694229762727728,0.10821351797057321,0.10453038516291244,0.1091750939151019,0.10836479950195582,0.10812491431559926,0.10803254197364508,0.10533693447301568,0.10562209954007626,0.10727693322855163,0.10830548438800505,0.1064837581809132,0.10521946556673985,0.10747276360089428,0.10982555015885506,0.10777728413729444,0.10956756268348272,0.10766917160134762,0.1055433563341027,0.11108555588118241,0.10832170732193909,0.10839474120429085,0.10801262376325432,0.10674013600650123,0.10443460915893157,0.10733529497342317,0.10937523633937762,0.10677047092745949,0.10597164226284403,0.10527960330350822,0.1067351508350953,0.10887050799798183,0.10881646374394455,0.10620503284444746,0.10616869744820515,0.11033352252944342,0.1059451037175433,0.10958361235692696
