word,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim_x,cosine_sim_y,cosine_sim
search,0.29473739087600015,0.2944710922892084,0.29613973278325245,0.2964120422506481,0.2893685838181745,0.29140825606082055,0.28830483335812207,0.2898483468149644,0.2878168395799456,0.28982362785447013,0.2900355648005475,0.28999139441135235,0.29441217948439247,0.2906865925302129,0.2861925069754005,0.29682147566067507,0.2884273142002737,0.29481724572164797,0.29459277379511883,0.28609538654126226,0.2868218627754961,0.29452129575858976,0.2901341229866366,0.29517198964129654,0.29242217876949983,0.29496593971728347,0.2900540907284408,0.29573338702551144,0.2936963622337262,0.2882878239303376,0.2926913737442651,0.2925197794474856,0.289967509001623,0.29122779533748466,0.28914246114151654,0.2960032485501036,0.2895749695895726,0.2861645804130659,0.2918510232359113,0.29375725041972667,0.2920368673394639,0.2918356908135401,0.292726614213065,0.29394969580586405,0.2854432264587703,0.286775455064628,0.2863803157682653,0.2894879679563591,0.2935651791577782,0.29215745787365394,0.29399609961869677
appellant,0.2762856273526908,0.28119589011809965,0.28720259346839416,0.28058565095390176,0.2836385377334717,0.2869816504838224,0.2693080977064436,0.2799420684110122,0.278779155946153,0.26823433974828037,0.28019760958543605,0.28165419574370976,0.2723797461286629,0.28391390087095064,0.26867013599074785,0.28159186821558047,0.28684060177518667,0.2619874157165778,0.2831484081554796,0.28229864412681716,0.26636005847048233,0.2745728450943361,0.2894781916621525,0.2899733894805855,0.2798498950916892,0.2841524477637126,0.28211499157778264,0.2819325861438929,0.2766001149553879,0.2787624179982464,0.28856355222449115,0.28749654106466827,0.2731456098896911,0.2808187919230978,0.2652430351966114,0.2716931175088726,0.2888183924954283,0.29057789547626534,0.28156027950581514,0.28744349850099526,0.29036081586815715,0.26370858108574174,0.2910343726080734,0.28581393878146605,0.27045744297145513,0.2795017266223836,0.26317396952980776,0.28419846176284375,0.27885749788164216,0.2751482083743133,0.28381739644617743
materials,0.23063901459915442,0.23344894413168216,0.23024646596546036,0.23129007338866517,0.2369919610507561,0.23708258545823055,0.2538199481839263,0.24469586604530236,0.24187069866284203,0.24395761477370675,0.23913957610805242,0.24338905096043537,0.24049436307723576,0.23990013170506583,0.24940697477948298,0.23035305305244708,0.2494307005850686,0.23941290268704163,0.23356670635896876,0.2507157957380133,0.25151951212736107,0.2364176851279584,0.24183657052353424,0.23090279670745753,0.24000368384964976,0.23453966313306543,0.2411624098465803,0.23412468557039623,0.2335058812763356,0.2454069127317163,0.2364820506783208,0.24052201978182675,0.2399688802403854,0.2423028748153615,0.24748030621638722,0.23504638484180726,0.2417411289359238,0.24048083129657255,0.2388392096324508,0.23653127145313063,0.23377733052201688,0.2428145411288563,0.23669639228931064,0.2326988060280953,0.25479384365105323,0.24368810425001497,0.2592444231961466,0.24009495919106674,0.23367721674799896,0.24438083991684614,0.23659556855845176
president,0.2029215239263477,0.20361989464410615,0.2043213192376398,0.20209838038748412,0.20591632249097153,0.20562519202613933,0.2002592881659649,0.2091072056045994,0.2043425825546335,0.20789295205902714,0.20529018026176338,0.20942925395389922,0.2009424145823509,0.2100397349733367,0.20799727748785063,0.19948217352308298,0.21092297931587328,0.19896546829347733,0.20558480592493544,0.20563795093199524,0.2058699048483792,0.20372456517661836,0.20605348190972753,0.20343664702412895,0.20495888647993205,0.20567924822112024,0.20563790721303488,0.20471206361392752,0.20020324890099367,0.20552531870643911,0.20576011013837192,0.20851874255102928,0.1996037835045857,0.20370523693854906,0.20233054428740746,0.20840433404308517,0.2085989590906627,0.20908226172377448,0.20734290973307312,0.2042948431252019,0.20577682270370912,0.20009944456922157,0.20630915972438757,0.20527619078737241,0.2045655641986706,0.20281510938101,0.20430968997363197,0.20828044283038624,0.20543968353543846,0.20160665679745626,0.2068291191468285
warrant,0.1866312528429376,0.18781770168792994,0.18809656541263642,0.18761501120224605,0.18579206240797325,0.18647557446208662,0.17831232693055515,0.18534893196597665,0.1807401255916133,0.18215732173017754,0.18466995508786344,0.18533212165967106,0.18773371440270314,0.18482496394767498,0.18163130424943957,0.18794000652490328,0.1839593282833486,0.18496298964357039,0.18789266198174737,0.1837007355068423,0.18065104998928172,0.1842486693620919,0.18661471841045046,0.18715651091834412,0.18670047103245999,0.18863324346520088,0.1856547854532199,0.18732588768675845,0.18751072805832342,0.18281312781759296,0.18607589072981862,0.18644625587098052,0.18289765715962691,0.18506700640867244,0.18189861090153803,0.18694467268642712,0.1870713382923103,0.18401386952210985,0.18527335156769792,0.1891096021463155,0.18718951872226602,0.18230104904155525,0.18759968837820815,0.18754255579315418,0.1780093103984275,0.1827519628590043,0.17962192480574984,0.18672934196346458,0.18771307324992925,0.1854669552917064,0.18743216221570472
papers,0.17430006068260406,0.17294396327372785,0.17030386474945006,0.17243448273979534,0.17569630295627925,0.1747565084364276,0.18901025830707555,0.1822708413476049,0.18093913365800562,0.1818193568706602,0.1772646303224987,0.1806843446606205,0.17957997437669415,0.17578387256183464,0.18607737066032254,0.172633523855869,0.18319336250483742,0.17967889005213988,0.17426552225536102,0.18345717291441677,0.18724478135838454,0.17609619699041928,0.1777606780388536,0.1717011592752835,0.17916361641014175,0.17464695101904126,0.17835619951721748,0.1752406467929812,0.17752388526685814,0.18359771445713413,0.17639441686440432,0.17615175868606694,0.17715121183519436,0.18166224956044447,0.1841109364298758,0.1766893687893118,0.1778437908005897,0.1771580231979702,0.17835049750805462,0.1745389172658412,0.17184467758600386,0.18183384348727694,0.17497155402587755,0.17192310872633443,0.18821797516049896,0.17990864322461136,0.19126038290489034,0.17666463642226268,0.17346400110612048,0.18344384229186633,0.1748845994444944
fourthamendment,0.17082537210224943,0.1686742391795949,0.16724069176802325,0.16797215083631184,0.1660881376492285,0.165096609904044,0.1635396992046324,0.16582744819925727,0.16474303945362098,0.166244358024692,0.16595036497631555,0.16731672711926313,0.16760530482034325,0.1666478396971639,0.1660499069381272,0.16865113144950414,0.16429160851111524,0.16864163512439403,0.16829751784709657,0.1642245841320665,0.16456540114642798,0.16659905052799748,0.1659131881479224,0.16780046295407902,0.16692035181053422,0.16816457236908755,0.1651166359913747,0.16886237194742837,0.17016045063126695,0.16621324690993955,0.16750056514503386,0.16611718196949982,0.16618806670262137,0.16676560792395145,0.16692802041120375,0.1677317735506604,0.16549243184468168,0.16648698149404964,0.16804547376532408,0.16794158186425526,0.16641183948950633,0.16753688099146083,0.16696881254651874,0.16808972711904266,0.16339376149479734,0.1641185787468453,0.1649413045157143,0.16672740857990043,0.1684792458750611,0.16561608011294998,0.16815426592283028
presidential,0.1521712206833281,0.1549207554312288,0.15169443513110176,0.15256864361155498,0.1569331380563469,0.15619659921877826,0.16982933886603702,0.16457826192866884,0.16353812525186193,0.16215904764945516,0.15998679904531243,0.16287965570592347,0.15918088495358224,0.15971482475441726,0.16766556820811307,0.15340289573152277,0.16704055820355812,0.15975134803651642,0.15599957648921925,0.1652725015460837,0.16793868730604172,0.15852361871619608,0.15983987335283767,0.15362730591128526,0.15973877663285246,0.154381172883424,0.16007448325423573,0.15659592248667803,0.1560150419756731,0.16406944365552906,0.15724187965818692,0.1608457742635504,0.15817277498240478,0.1600087622051093,0.16529146615441964,0.15847609751515718,0.16172834605165548,0.1599073990434955,0.1602765407799409,0.15661446818538116,0.1544362483507523,0.16119887527288554,0.15715126660828052,0.1547640155142518,0.1717585358197364,0.1640774178030829,0.17175120617265618,0.15754411007451594,0.15514730148248576,0.16353673865128987,0.15753840011406928
seizure,0.1304805296663907,0.12731634101254713,0.12729313522281027,0.1282672420432001,0.12643353353541567,0.1272227232000397,0.13142012565123978,0.12746972091408693,0.12566086080715283,0.1287901436717101,0.12664805136668167,0.1268579574898949,0.12882870864111834,0.12717654040712698,0.12944671245944986,0.12914311207451667,0.12738386439356425,0.12983549193174004,0.13007065665624012,0.12510582974291784,0.12821975887326945,0.13124366968479895,0.12563896694281806,0.12727884002507434,0.12820374225663253,0.12762817629729614,0.12677207731687382,0.12809540941691516,0.12825264745154707,0.12759892507311,0.12862807667987552,0.12642728202240378,0.1254298583704305,0.12814727914640012,0.12959368226186246,0.13152099135231568,0.12511393496001266,0.1251374833523806,0.12779604962525312,0.12692971297246025,0.12603111163953543,0.1288095219846828,0.12684347317576855,0.1276635691529224,0.12966746028084433,0.1244792674078192,0.12997912270190543,0.12628147743443066,0.12872043939509648,0.12839165357742463,0.12626289509856603
privilege,0.11956890088136214,0.11862987036092637,0.11743129967580243,0.1193257549263447,0.12148890996494523,0.11716106128028766,0.14350952461304822,0.13095575506773754,0.13562701968396346,0.12908603037936006,0.1257854481175529,0.12414151881780545,0.1289247862967206,0.1163801978054283,0.13456321312032632,0.12396508654943915,0.12073452123219115,0.13489049287713373,0.12018022951783783,0.126554730185816,0.13920060233403492,0.1331678972067384,0.11593621517063735,0.11919949925742769,0.12250938050965934,0.12192371073403943,0.12316716156416785,0.12041840975467545,0.1301449444034302,0.1264579668406186,0.11574462841767945,0.12047084609665065,0.12945275457156566,0.12641746047838898,0.13863034135327376,0.131448996058604,0.11922582605407112,0.11244410680889959,0.12328923824390112,0.11388469135395791,0.11606393458892598,0.13973322284212256,0.11854311987638536,0.1167544418707009,0.13521068760183916,0.13477741975131663,0.1361463700088578,0.11349750234683367,0.12337587078767254,0.1375653945815465,0.11817609217904748
